company_name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_7779,7.8,2.129,0.157,-2.211,6.356,-5.116,0.358,28.1449,2.735,30.182,10.189,-2.368,0.606,6.957,-43.029,2.735,18.957,4.946
C_4919,12.154,38.374,0.348,2.042,7.741,0.679,3.796,3.2675,43.71,14.568,3.624,1.694,5.336,16.18,-49.952,43.71,19.804,41.668
C_5850,9.971,1.026,1.308,-4.265,5.054,-4.675,0.64,8.142,3.551,15.471,0.005,-5.573,2.525,4.185,-51.094,3.551,4.19,7.816
C_6008,8.764,12.948,0.613,-0.784,5.475,-3.619,2.726,4.3053,21.942,14.286,3.336,-1.397,8.994,2.681,-5.955,21.942,6.952,22.726
C_3839,1151.477,3333.872,116.264,396.814,513.238,144.36,481.332,1439.6293,4346.703,3051.055,1422.962,280.55,1012.831,670.269,108.218,4346.703,2283.248,3949.889
C_396,2291.4,3480.2,132.3,889.9,466.3,827.6,878.8,8572.7573,5409.4,6447.6,1096.2,757.6,1929.2,1458.6,4205.9,5409.4,2911.6,4519.5
C_1319,4884.0,18015.5,166.2,896.9,3650.5,396.0,1004.4,3213.7854,21412.8,10665.1,1926.2,730.7,3397.3,5658.1,3238.3,21412.8,7949.1,20515.9
C_3559,14514.0,3824.0,1009.0,2992.0,116.0,1005.0,2217.0,15844.67,9498.0,38327.0,16429.0,1983.0,5674.0,14229.0,-9377.0,9498.0,31283.0,6506.0
C_2686,21.217,10.303,4.753,-19.425,6.414,-41.117,7.27,2.2347,9.508,46.343,0.245,-24.178,-0.795,10.661,-22.482,9.508,10.906,28.933
C_5005,40.632,345.851,18.203,47.205,5.634,14.565,9.875,255.0405,434.481,198.254,103.759,29.002,88.63,43.008,-244.683,434.481,159.295,387.276
C_2048,20.73,15.397,2.546,-10.365,10.54,-11.569,0.824,23.9527,65.349,35.196,6.546,-12.911,49.952,19.927,14.388,65.349,26.706,75.714
C_4763,118.281,243.925,44.937,87.711,0.0,26.161,43.6,262.0758,462.74,288.689,1.289,42.774,218.815,88.739,-184.011,462.74,96.902,375.029
C_8530,125.115,66.923,20.408,32.533,0.0,-11.64,90.356,196.9022,231.991,369.598,104.281,12.125,165.068,65.883,-130.73,231.991,189.329,199.458
C_326,370.0,630.7,16.1,32.6,179.7,-87.1,114.6,17.0615,807.9,602.9,231.9,16.5,177.2,227.1,-530.6,807.9,652.3,775.3
C_7208,10.419,28.275,0.314,-18.046,0.0,-7.562,0.0,8.9685,10.229,15.53,0.0,-18.36,-18.046,2.005,-199.215,10.229,4.106,28.275
C_3714,2011.195,725.635,141.7,305.414,0.0,85.044,481.277,8200.6852,2267.018,4224.728,0.0,163.714,1541.383,1207.728,733.724,2267.018,1365.279,1961.604
C_2672,676.193,3493.531,128.783,459.118,136.968,207.474,413.004,3547.0543,3952.649,2334.634,430.0,330.335,459.118,609.658,476.919,3952.649,1431.175,3493.531
C_4666,8.639,5.167,0.7,-15.963,0.748,-18.222,4.238,22.0131,17.878,17.597,0.0,-16.663,12.711,14.905,-416.965,17.878,16.368,33.841
C_3772,319.446,105.642,1.567,-72.084,0.0,-67.698,0.0,1968.5205,33.558,407.253,0.0,-73.651,-72.084,36.677,-202.62,33.558,36.686,105.642
C_4450,18.168,2.497,0.455,-12.778,2.482,-13.047,2.303,103.0986,23.768,18.632,0.043,-13.233,21.271,7.799,-70.33,23.768,7.842,36.546
C_6166,4.236,0.977,0.196,-2.247,0.803,-8.467,2.42,51.3105,2.323,5.63,0.966,-2.443,1.346,1.647,-11.008,2.323,2.743,4.57
C_8604,94.04,154.485,41.253,50.82,0.0,14.676,6.613,330.6053,278.868,417.293,94.716,9.567,124.383,68.301,-55.175,278.868,168.72,228.048
C_1702,3.05,9.455,0.259,-1.478,0.4,-1.793,2.117,2.6854,13.2,5.622,1.517,-1.737,3.745,2.318,-15.854,13.2,3.835,14.678
C_5212,610.635,282.886,25.295,8.263,0.0,10.617,357.239,3755.8986,891.581,982.553,0.0,-17.032,608.695,331.809,497.541,891.581,361.022,883.318
C_1454,20.608,44.196,1.15,7.231,7.437,4.247,8.08,50.6837,67.627,33.562,0.0,6.081,23.431,5.994,26.632,67.627,6.55,60.396
C_5042,111.141,723.297,1.794,12.71,0.0,2.776,109.889,415.5795,819.673,143.126,16.069,10.916,96.376,95.652,-4.902,819.673,116.252,806.963
C_1800,13.649,67.803,3.213,7.052,1.067,3.136,5.997,23.9409,86.905,47.052,15.979,3.839,19.102,8.301,-1.992,86.905,26.405,79.853
C_3447,0.002,0.02,0.0,-0.229,0.0,-0.229,0.0,4.7111,0.031,0.092,0.008,-0.229,0.011,0.221,-0.249,0.031,0.229,0.26
C_7343,7.924,25.324,0.186,-10.002,0.0,-15.548,6.082,9.972,32.473,24.847,0.747,-10.188,7.149,13.198,-134.834,32.473,14.44,42.475
C_5507,138.004,35.078,26.518,6.332,0.0,-25.4,35.624,316.554,191.05,420.316,29.007,-20.186,155.972,157.645,-48.317,191.05,197.481,184.718
C_3172,69.13,64.075,9.799,-7.012,0.0,-17.851,43.432,39.798,149.109,89.315,0.0,-16.811,85.034,49.549,-69.351,149.109,50.767,156.121
C_2166,5.636,17.83,0.719,-8.391,0.898,-34.286,0.076,13.191,9.439,11.313,0.028,-9.11,-8.391,104.458,-216.628,9.439,110.053,17.83
C_1669,22.343,67.475,1.942,2.139,11.322,0.044,8.264,37.5154,87.479,41.948,5.689,0.197,20.004,10.701,-4.333,87.479,17.161,85.34
C_2563,3874.0,6746.0,1141.0,1950.0,0.0,259.0,2463.0,22943.575,10412.0,22549.0,10907.0,809.0,3666.0,3534.0,583.0,10412.0,15595.0,8462.0
C_4176,315.228,475.545,22.166,34.202,212.106,6.535,6.413,261.7709,703.371,406.102,0.0,12.036,227.826,78.118,103.376,703.371,97.371,669.169
C_2610,193.497,41.629,20.221,15.797,0.0,-18.824,30.483,1466.3247,187.716,301.6,0.0,-4.424,146.087,108.457,-40.289,187.716,127.319,171.919
C_5218,6.568,13.343,0.279,-1.486,1.589,0.174,1.92,20.3328,14.06,13.316,1.098,-1.765,0.717,8.351,-49.436,14.06,9.449,15.546
C_5947,74.155,13.092,2.016,2.61,0.0,2.08,31.708,109.91,89.231,93.34,0.0,0.594,76.139,41.239,7.287,89.231,43.84,86.621
C_1738,84.146,123.9,11.5,23.1,21.173,8.386,41.137,168.3298,215.036,178.38,19.5,11.6,91.136,29.364,87.22,215.036,57.701,191.936
C_1831,123.439,586.01,70.666,111.512,0.0,16.342,100.293,365.7848,697.522,620.452,207.816,40.846,111.512,124.551,158.327,697.522,402.297,586.01
C_3929,311.063,1270.768,49.729,178.992,137.182,66.244,160.266,714.2573,1524.984,1034.626,200.432,129.263,254.216,284.724,185.345,1524.984,614.288,1345.992
C_8901,45.267,72.547,9.641,4.517,0.0,-7.555,25.567,57.7614,143.879,91.463,1.367,-5.124,71.332,36.023,-92.068,143.879,40.292,139.362
C_7332,8.173,2.484,0.163,-2.82,1.864,-3.402,1.452,36.8311,5.687,10.558,0.843,-2.983,3.203,2.654,-124.082,5.687,3.76,8.507
C_1035,22.309,17.402,6.951,9.622,2.376,0.142,6.575,183.3878,44.747,80.479,22.815,2.671,27.345,24.57,13.572,44.747,52.483,35.125
C_4908,2.348,2.735,0.181,-1.8,0.605,-2.855,0.946,8.0448,7.91,8.844,1.893,-1.981,5.175,3.118,-13.376,7.91,5.229,9.71
C_203,1983.884,5061.803,74.124,161.002,812.454,416.79,528.279,847.9878,6920.384,3784.315,960.962,86.878,1858.581,1056.641,-228.894,6920.384,2705.325,6759.382
C_431,4.362,4.321,0.345,-2.273,3.557,-1.9,0.476,11.4732,6.766,5.726,0.111,-2.618,2.445,3.987,-5.755,6.766,4.098,9.039
C_4467,23.169,56.077,2.628,36.247,0.0,19.098,13.487,411.9585,92.324,57.071,0.0,33.619,36.247,16.736,36.52,92.324,20.551,56.077
C_8597,29.645,97.495,4.63,9.795,16.414,8.365,4.068,55.9791,109.609,80.702,0.003,5.165,12.114,7.02,33.4,109.609,7.023,99.814
C_532,191.393,338.042,489.207,649.396,13.177,306.828,158.787,5592.062,987.438,5033.895,782.861,160.189,649.396,322.244,2185.541,987.438,1595.438,338.042
C_3294,176.567,18.811,6.264,-6.738,13.282,-12.951,18.673,2028.1302,181.278,206.97,0.0,-13.002,162.467,30.365,-204.396,181.278,33.11,188.016
C_5065,519.077,951.697,35.0,122.465,71.233,486.846,186.896,2327.9715,1158.985,1754.909,0.0,87.465,207.288,439.947,-128.247,1158.985,853.96,1036.52
C_2340,1.027,0.968,0.252,-4.037,0.022,-14.663,0.15,15.522,1.103,8.247,2.684,-4.289,0.135,2.021,-67.984,1.103,28.654,5.14
C_5432,25.624,14.347,1.979,-24.198,6.764,-24.36,7.127,5.7906,25.03,42.009,8.477,-26.177,10.683,9.028,-35.566,25.03,18.718,49.228
C_4882,25.076,40.989,3.781,-9.54,4.276,-23.646,2.651,19.5525,80.131,33.433,0.0,-13.321,39.142,37.872,-782.472,80.131,53.845,89.671
C_386,38.511,64.054,18.692,53.689,1.679,16.695,24.18,806.1179,117.743,951.869,257.511,34.997,53.689,78.906,103.703,117.743,657.733,64.054
C_1458,71.019,112.941,6.868,27.72,39.549,12.843,25.892,200.3271,163.936,157.622,0.41,20.852,50.995,15.923,88.747,163.936,27.895,136.216
C_4750,46.602,21.617,5.641,-9.115,16.543,-13.678,6.654,36.2365,36.841,61.141,0.091,-14.756,15.224,19.726,-220.874,36.841,20.599,45.956
C_321,1858.808,227.912,26.259,141.491,0.0,158.013,235.244,2206.0885,528.842,2552.209,0.0,115.232,300.93,278.401,1089.835,528.842,396.613,387.351
C_8571,10.0,18.603,0.556,0.29,0.0,-0.553,6.22,17.985,29.219,10.901,0.0,-0.266,10.616,5.246,-5.322,29.219,5.246,28.929
C_1846,62.975,192.796,1.471,19.535,34.238,11.453,4.437,174.5582,285.12,93.89,0.0,18.064,92.324,51.152,33.278,285.12,51.921,265.585
C_87,123.091,91.901,8.444,25.883,34.928,15.056,32.059,303.9321,158.374,215.645,0.0,17.439,66.473,15.628,157.324,158.374,25.907,132.491
C_450,1.013,0.593,0.075,-0.581,0.457,-0.699,0.097,0.3922,1.086,1.357,0.0,-0.656,0.493,0.491,-22.971,1.086,0.491,1.667
C_6477,4.256,7.214,1.767,-17.421,1.995,-20.282,0.426,9.1331,3.128,9.977,0.0,-19.188,-4.086,2.412,-582.196,3.128,3.589,20.549
C_2680,31.871,97.355,0.949,4.227,18.087,1.96,13.014,18.2799,114.211,47.414,2.384,3.278,16.856,36.678,-13.677,114.211,39.28,109.984
C_2564,353.327,361.536,3.102,-321.406,7.873,-350.223,15.729,1300.3834,40.13,386.419,173.054,-324.508,-321.406,69.005,-1525.987,40.13,295.852,361.536
C_7474,148.31,89.955,0.153,-55.622,0.0,-57.427,0.214,2021.9175,34.333,151.536,0.002,-55.775,-55.622,167.18,-127.273,34.333,261.239,89.955
C_5582,2.466,9.423,0.027,-0.45,0.106,-0.618,1.498,0.9083,11.898,2.585,0.0,-0.477,2.475,1.226,-4.636,11.898,1.226,12.348
C_3204,1127.2,701.2,77.2,273.4,153.6,247.2,197.1,3635.541,1247.7,1581.5,334.6,196.2,546.5,214.0,172.8,1247.7,619.6,974.3
C_912,118.325,429.097,8.995,75.104,48.491,39.143,55.111,382.9684,561.27,215.61,7.131,66.109,132.173,62.746,25.443,561.27,87.358,486.166
C_2241,56.002,62.689,11.072,37.713,5.67,17.753,31.998,432.657,149.239,190.816,109.1,26.641,86.55,34.498,-25.777,149.239,170.217,111.526
C_3246,44.915,19.983,2.633,-9.444,4.022,3.184,1.698,40.2109,36.157,51.652,0.0,-12.077,16.174,18.088,-88.433,36.157,20.026,45.601
C_6270,156.759,514.232,94.456,152.499,6.759,-20.914,12.779,428.9996,851.794,1366.569,960.563,58.043,337.562,83.46,-120.361,851.794,1051.417,699.295
C_2789,2.024,0.7,0.031,-3.992,1.48,-4.024,0.157,26.7778,1.511,2.459,0.0,-4.023,0.811,5.902,-61.943,1.511,5.994,5.503
C_6244,71.047,7.008,0.433,-12.14,0.0,-12.608,19.615,22.1247,0.56,114.968,0.0,-12.573,-6.448,72.978,-60.167,0.56,73.745,12.7
C_2000,10.831,26.618,0.446,1.73,0.64,-2.279,8.543,1.5489,36.262,21.805,6.649,1.284,9.644,12.425,-42.526,36.262,19.074,34.532
C_4898,9.094,53.535,0.518,2.243,0.389,1.554,6.605,13.256,67.587,17.485,2.889,1.725,14.052,10.151,-125.065,67.587,13.367,65.344
C_5186,124.24,597.423,1.8,22.83,21.278,13.133,88.72,142.2304,679.492,133.322,0.0,21.03,82.069,69.281,26.632,679.492,71.014,656.662
C_8045,31.851,22.318,0.896,8.87,9.66,6.081,7.058,69.5014,45.615,49.363,0.0,7.974,23.297,4.107,19.788,45.615,4.107,36.745
C_8820,38.841,55.33,9.129,2.219,0.284,-5.065,21.151,367.4852,134.844,126.129,0.0,-6.91,79.514,24.494,-143.78,134.844,24.494,132.625
C_4022,409.267,266.249,9.392,79.125,31.6,20.219,270.354,1473.3914,417.633,506.254,1.455,69.733,151.384,325.116,195.261,417.633,326.571,338.508
C_960,2.24,4.63,0.323,0.433,0.142,0.001,1.135,0.4659,10.825,3.51,0.0,0.11,6.195,2.981,-13.143,10.825,3.362,10.392
C_4229,145.519,116.669,4.435,73.498,38.888,55.789,1.011,1483.7374,501.003,169.429,0.0,69.063,384.334,60.323,131.171,501.003,60.323,427.505
C_5366,8.902,7.275,0.623,-0.165,0.434,-1.027,4.806,7.8966,20.093,12.528,0.0,-0.788,12.818,9.396,-50.687,20.093,10.175,20.258
C_3450,85.155,202.566,17.883,43.827,4.61,9.397,75.289,131.5278,270.172,260.399,12.688,25.944,67.606,110.046,19.284,270.172,127.111,226.345
C_5428,13.208,29.808,51.005,27.089,0.732,-8.274,10.617,218.5331,75.717,268.798,90.0,-23.916,45.909,17.12,-90.361,75.717,107.947,48.628
C_5975,13.702,3.329,0.982,-8.068,4.898,-3.673,0.676,80.2527,7.459,30.883,3.331,-9.05,4.13,5.115,-142.527,7.459,12.407,15.527
C_8661,804.164,1534.673,47.105,206.56,465.572,69.78,152.817,198.8098,2353.523,1527.85,993.566,159.455,818.85,427.707,603.082,2353.523,1543.356,2146.963
C_2616,10.295,0.115,0.0,-20.811,1.588,-44.647,0.051,2284.8384,0.658,11.85,0.0,-20.811,0.543,22.06,-52.872,0.658,29.335,21.469
C_1855,187.315,90.603,23.613,8.068,0.0,-97.407,33.843,166.9144,132.62,344.822,42.666,-15.545,42.017,33.328,83.683,132.62,76.967,124.552
C_1018,14.28,15.71,2.564,3.302,6.78,0.098,5.766,8.3542,29.229,24.032,2.611,0.738,13.519,3.19,0.876,29.229,5.865,25.927
C_6344,549.078,1197.836,12.866,147.695,128.323,78.313,358.799,1893.0869,1513.797,998.182,174.866,134.829,315.961,192.504,165.436,1513.797,392.482,1366.102
C_7859,94.051,48.679,7.893,-29.365,27.999,-73.611,2.789,102.4716,113.34,114.842,0.0,-37.258,64.661,14.371,-98.091,113.34,17.559,142.705
C_5437,10.803,36.65,0.381,-0.051,0.0,-1.052,8.436,1.8443,44.399,12.417,0.0,-0.432,7.749,15.248,-40.331,44.399,15.248,44.45
C_6257,131.068,263.085,38.589,106.554,0.0,50.634,37.947,1279.8922,560.456,997.725,260.39,67.965,297.371,48.28,-962.135,560.456,365.185,453.902
C_2892,133.442,63.986,0.076,-61.878,0.0,-60.802,0.377,213.6564,2.108,137.186,0.0,-61.954,-61.878,15.798,-366.254,2.108,32.867,63.986
C_1347,125.807,325.471,163.696,89.161,9.311,-113.134,26.396,6068.0224,459.042,2682.016,351.027,-74.535,133.571,51.383,-91.099,459.042,540.747,369.881
C_6546,116.441,203.439,47.829,59.18,3.052,173.98,43.93,230.6528,337.108,266.647,248.396,11.351,133.669,92.281,-1126.961,337.108,346.939,277.928
C_1353,1568.391,5511.023,1402.964,2043.385,79.228,273.298,1219.426,2557.5354,8409.215,13051.084,5693.646,640.421,2898.192,2292.321,1799.377,8409.215,10140.757,6365.83
C_5257,40.469,57.995,7.465,38.599,0.0,18.573,13.016,358.5582,198.653,83.633,169.613,31.134,140.658,34.179,-78.243,198.653,205.508,160.054
C_1503,247.396,479.735,39.561,114.438,30.63,37.869,155.703,608.7718,774.718,587.841,210.649,74.877,294.983,131.668,142.038,774.718,353.013,660.28
C_2900,696.593,1675.708,86.789,255.902,250.407,92.71,287.075,1158.2279,2170.103,1778.465,796.398,169.113,494.395,245.306,-183.755,2170.103,1156.16,1914.201
C_3697,1772.724,4182.501,83.816,303.705,779.834,200.974,826.877,2205.9197,5465.683,3471.664,922.03,219.889,1283.182,908.381,1422.792,5465.683,2009.874,5161.978
C_6006,29.725,108.223,3.643,11.822,4.815,-8.277,23.328,44.9778,164.099,86.143,37.138,8.179,55.876,20.077,-9.673,164.099,57.215,152.277
C_5747,10.684,5.615,0.154,-5.697,0.763,-11.444,0.691,14.1966,8.955,18.667,0.608,-5.851,3.34,5.32,-163.015,8.955,5.928,14.652
C_3396,74.988,120.738,41.134,79.982,0.0,13.801,43.355,53.3124,211.503,321.056,194.391,38.848,90.765,58.197,4.446,211.503,255.585,131.521
C_6337,44.557,42.844,2.086,11.308,10.289,7.337,12.835,301.3048,104.49,77.16,5.0,9.222,61.646,14.254,-135.531,104.49,19.254,93.182
C_8150,3.331,4.389,0.359,-1.224,0.0,-1.711,0.659,29.1738,3.165,4.111,0.0,-1.583,-1.224,0.5,-43.724,3.165,0.532,4.389
C_2884,1.23,0.134,0.006,-4.279,0.144,-4.154,0.095,23.6645,0.318,1.58,0.0,-4.285,0.184,0.64,-32.536,0.318,1.117,4.597
C_4395,60.017,123.168,1.768,9.386,31.796,3.347,24.107,43.4379,173.712,91.833,2.941,7.618,50.544,44.339,4.73,173.712,47.28,164.326
C_3367,105.889,285.246,16.446,29.796,48.308,9.565,40.855,93.4995,389.726,141.169,29.828,13.35,104.48,62.651,80.054,389.726,95.283,359.93
C_1727,5.918,17.889,0.442,-1.335,2.92,-2.544,2.54,4.8106,23.093,7.918,0.506,-1.777,5.204,8.432,-16.403,23.093,9.371,24.428
C_6350,1.891,1.815,0.085,-5.261,0.0,-6.502,0.0,3.5721,2.383,2.488,0.0,-5.346,0.568,1.04,-118.511,2.383,1.04,7.644
C_6643,158.39,24.493,11.827,14.334,0.0,1.862,12.632,361.2275,105.353,271.901,0.0,2.507,80.86,71.886,-23.57,105.353,83.314,91.019
C_2702,0.106,1.013,0.068,-1.882,0.0,-2.488,0.005,80.7385,0.095,0.363,0.0,-1.95,-0.918,2.674,-10.306,0.095,2.674,1.977
C_8059,236.834,221.829,30.184,-29.214,98.489,-84.353,53.844,140.1278,299.827,295.575,16.497,-59.398,77.998,111.72,-571.715,299.827,136.347,329.041
C_1447,3.162,2.624,0.239,0.337,0.041,0.105,2.988,1.7738,2.961,14.304,1.666,0.098,0.337,1.81,2.168,2.961,5.248,2.624
C_5248,36.923,30.634,1.117,2.236,0.0,1.118,1.431,82.2653,32.87,57.097,0.0,1.119,2.236,2.996,-12.624,32.87,2.996,30.634
C_2776,1020.0,1289.0,137.0,414.0,31.0,-48.0,546.0,1766.2575,3076.0,4305.0,1233.0,277.0,1787.0,1008.0,-11109.0,3076.0,2865.0,2662.0
C_3524,122.834,332.631,12.02,27.036,70.738,12.602,3.813,181.2888,462.134,205.572,1.06,15.016,129.503,60.561,34.359,462.134,86.179,435.098
C_7190,439.985,1678.1,51.8,164.542,0.0,82.097,405.378,2079.3015,1958.557,1803.871,7.5,112.742,280.457,243.333,902.982,1958.557,402.677,1794.015
C_4559,22.148,72.467,0.112,-7.627,2.684,-3.319,18.995,6.5235,71.179,23.34,0.0,-7.739,-1.288,19.997,-48.753,71.179,19.997,78.806
C_6433,521.862,113.421,191.131,-151.303,0.554,-329.875,21.298,1494.075,59.055,2116.126,355.077,-342.434,-54.366,78.451,-397.087,59.055,434.141,210.358
C_5328,66.289,78.795,20.059,93.019,6.199,33.806,33.71,1054.0641,270.558,456.417,176.577,72.96,191.763,34.478,32.52,270.558,261.105,177.539
C_8636,213.251,1271.508,89.321,164.689,0.0,14.886,192.438,532.711,1602.202,1127.192,699.024,75.368,330.694,173.465,-120.523,1602.202,960.458,1437.513
C_2615,0.07,2.641,0.088,-1.863,0.0,-1.356,0.0,4.219,0.778,0.124,0.0,-1.951,-1.863,2.216,-11.883,0.778,2.216,2.641
C_8776,739.0,716.0,848.0,1406.0,48.0,151.0,405.0,4773.81,2310.0,8203.0,2485.0,558.0,1594.0,715.0,-3437.0,2310.0,3902.0,904.0
C_2305,32.085,73.087,5.511,-39.168,5.739,-56.408,12.958,67.8398,142.679,47.338,0.24,-44.679,69.592,143.026,-427.45,142.679,145.321,181.847
C_6836,63.66,35.477,2.533,-31.874,0.154,-61.183,0.184,41.976,3.603,69.544,0.0,-34.407,-31.874,9.579,-305.176,3.603,18.381,35.477
C_156,2316.4,1163.2,213.4,1169.5,483.0,531.4,477.3,16377.4893,3714.0,5306.1,1641.7,956.1,2550.8,1108.9,-689.9,3714.0,3631.0,2544.5
C_6924,52.489,26.565,1.469,-18.638,0.0,-17.443,0.709,42.2054,7.927,79.971,10.0,-20.107,-18.638,3.785,-70.83,7.927,14.029,26.565
C_7600,17.686,16.076,0.179,-0.783,8.733,-2.968,7.969,23.3727,24.987,18.794,0.0,-0.962,8.911,8.922,-11.495,24.987,8.922,25.77
C_967,134.441,322.007,67.272,87.337,4.314,-135.186,96.091,64.092,539.333,793.326,588.355,20.065,217.326,111.474,-586.067,539.333,725.103,451.996
C_2887,0.87,2.211,0.066,-1.84,0.291,-2.075,0.044,19.3172,3.711,1.83,0.015,-1.906,1.5,1.0,-34.833,3.711,1.015,5.551
C_7776,7.162,19.581,1.064,-9.557,0.0,-13.309,1.498,6.8214,10.024,21.085,2.152,-10.621,-9.557,20.395,-35.17,10.024,22.891,19.581
C_3702,31.129,17.151,1.962,1.473,3.372,1.747,11.51,26.2426,44.639,36.107,0.0,-0.489,27.488,5.755,-4.105,44.639,5.755,43.166
C_5840,112.495,178.006,6.999,23.685,77.871,-52.476,32.896,3.6464,259.351,255.374,99.12,16.686,81.345,91.393,-36.631,259.351,190.513,235.666
C_1721,927.798,3381.656,332.178,797.914,472.952,248.804,399.735,5733.6691,4453.942,5325.149,1530.881,465.736,1072.286,575.124,2244.566,4453.942,2775.664,3656.028
C_6679,25.331,28.698,2.273,-5.851,0.079,-8.349,5.916,62.5152,44.697,53.093,0.0,-8.124,15.999,16.694,-180.196,44.697,18.772,50.548
C_7571,1.132,0.239,0.005,-0.123,0.0,-0.223,1.052,46.3756,0.388,1.714,2.0,-0.128,0.149,1.8,-6.932,0.388,3.8,0.511
C_3922,17.063,8.018,0.007,-8.014,0.0,-7.391,0.0,51.5088,0.004,17.682,0.0,-8.021,-8.014,0.727,-94.145,0.004,0.727,8.018
C_5244,57.185,0.797,0.443,0.824,0.0,1.233,5.289,77.6728,16.2,66.441,0.0,0.381,15.403,4.469,-34.694,16.2,4.544,15.376
C_4821,4.302,2.085,0.369,-2.111,2.154,-3.852,0.596,2.1482,4.124,5.956,0.0,-2.48,2.039,4.438,-52.994,4.124,4.438,6.235
C_2444,8.567,13.858,1.583,2.086,0.0,-0.391,4.847,10.0581,33.977,27.507,3.357,0.503,20.119,10.184,-45.922,33.977,15.015,31.891
C_6574,164.619,67.505,16.023,63.92,0.0,30.282,43.643,736.4773,153.141,231.361,8.555,47.897,85.636,40.313,62.055,153.141,54.687,89.221
C_2946,3.241,4.5,0.809,-6.549,0.0,-15.167,2.885,11.8313,7.975,4.496,0.554,-7.358,3.475,11.495,-84.451,7.975,19.828,14.524
C_5352,5.92,10.641,0.541,-2.148,0.0,-3.236,1.999,74.9268,23.144,21.815,0.0,-2.689,12.503,4.981,-19.516,23.144,5.616,25.292
C_3068,1.874,4.538,0.003,0.296,0.87,-0.101,0.844,0.0007,5.989,2.004,0.45,0.293,1.451,1.884,-50.917,5.989,17.01,5.693
C_2109,11.681,13.394,2.156,2.736,7.483,0.131,3.565,7.3235,23.417,17.66,0.0,0.58,10.023,12.761,-77.781,23.417,12.761,20.681
C_5516,27.477,35.563,2.55,9.968,0.0,3.405,14.479,26.648,71.902,55.75,7.763,7.418,36.339,23.054,12.384,71.902,31.821,61.934
C_7251,129.752,118.572,1.717,-118.103,0.0,-122.287,1.409,802.0316,0.469,141.011,0.0,-119.82,-118.103,18.19,-829.543,0.469,35.014,118.572
C_2977,8.478,12.459,0.038,-10.806,0.0,-10.811,0.018,20.3686,1.653,14.281,0.0,-10.844,-10.806,3.864,-93.016,1.653,5.345,12.459
C_2354,22.436,35.396,2.441,-1.615,2.419,-18.131,15.429,1.443,58.061,32.531,19.48,-4.056,22.665,20.352,-293.461,58.061,42.535,59.676
